"id","name","canton_id","canton_name","ballot_id","ballot_name","yes","no","yes_pct","turnout","ballots_returned","voters","valid_votes"
"1303","Bezirk Liestal","13","Basel-Landschaft",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",8740,12057,42.025292109,57.645624492,21277,36910,20797
"1304","Bezirk Sissach","13","Basel-Landschaft",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",5810,10668,35.25913339,65.155928386,16777,25749,16478
"1305","Bezirk Waldenburg","13","Basel-Landschaft",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",2169,4683,31.654991243,61.948627104,6994,11290,6852
"1401","Bezirk Oberklettgau","14","Schaffhausen",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",938,1653,36.202238518,79.288702929,2653,3346,2591
"1402","Bezirk Reiat","14","Schaffhausen",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",1660,2877,36.58805378,79.152542373,4670,5900,4537
"1403","Bezirk Schaffhausen","14","Schaffhausen",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",11356,11773,49.098534308,70.628098689,24075,34087,23129
"1404","Bezirk Schleitheim","14","Schaffhausen",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",479,1150,29.404542664,73.43402932,1653,2251,1629
"1405","Bezirk Stein","14","Schaffhausen",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",1262,1534,45.135908441,74.580272823,2843,3812,2796
"1406","Bezirk Unterklettgau","14","Schaffhausen",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",847,1871,31.162619573,77.768385461,2760,3549,2718
"1501","Bezirk Hinterland","15","Appenzell Ausserrhoden",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",3311,7168,31.596526386,63.436972765,10528,16596,10479
"1502","Bezirk Mittelland","15","Appenzell Ausserrhoden",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",3997,4662,46.160064673,69.050991501,8775,12708,8659
"1503","Bezirk Vorderland","15","Appenzell Ausserrhoden",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",2659,3721,41.677115987,66.704829309,6409,9608,6380
